city_x,city_y
Lille,Nuremberg
Lille,Paderborn Lippstadt
Lille,Stuttgart
Lille,Weeze
Lille,Alghero
Lille,Ancona
Lille,Bari
Lille,Bergamo
Lille,Bologna
Lille,Brindisi
Lille,Cagliari
Lille,Catania Fontanarossa
Lille,Comiso
Lille,Florence
Lille,Genoa
Lille,Lamezia Terme
Lille,Milan Linate
Lille,Milan Malpensa
Lille,Naples
Lille,Olbia Costa Smeralda
Lille,Palermo
Lille,Perugia
Lille,Pescara
Lille,Pisa
Lille,Rome Ciampino
Lille,Rome Fiumicino
Lille,Trapani
Lille,Treviso
Lille,Turin
Lille,Venice
Lille,Verona
Lille,Amsterdam Schiphol
Lille,Eindhoven
Lille,Groningen Eelde
Lille,Maastricht Aachen
Lille,Rotterdam The Hague
Lille,Alicante
Lille,Almeria
Lille,Asturias
Lille,Barcelona
Lille,Bilbao
Lille,Fuerteventura
Lille,Girona
Lille,Gran Canaria
Lille,Granada-Jaén
Lille,Ibiza
Lille,Jerez
Lille,La Palma
Lille,Lanzarote
Lille,Madrid Barajas
Lille,Malaga
Lille,Menorca
Lille,Palma de Mallorca
Lille,Región de Murcia
Lille,Reus
Lille,Santander
Lille,Santiago de Compostela
Lille,Seville
Lille,Tenerife North
Lille,Tenerife South
Lille,Valencia
Lille,Zaragoza
Lille,Aberdeen
Lille,Belfast City
Lille,Belfast International
Lille,Birmingham
Lille,Bristol
Lille,Cardiff
Lille,Doncaster Sheffield
Lille,East Midlands
Lille,Edinburgh
Lille,Exeter
Lille,Glasgow
Lille,Glasgow Prestwick
Lille,Humberside
Lille,Jersey
Lille,Leeds Bradford
Lille,Liverpool
Lille,London City
Lille,London Gatwick
Lille,London Heathrow
Lille,London Luton
Lille,London Southend
Lille,London Stansted
Lille,Manchester
Lille,Newcastle
Lille,Southampton
Lyon-Saint Exupéry,Ajaccio
Lyon-Saint Exupéry,Bastia
Lyon-Saint Exupéry,Bergerac
Lyon-Saint Exupéry,Biarritz
Lyon-Saint Exupéry,Bordeaux
Lyon-Saint Exupéry,Brest Bretagne
Lyon-Saint Exupéry,Figari South Corsica
Lyon-Saint Exupéry,Lille
Lyon-Saint Exupéry,Marseille
Lyon-Saint Exupéry,Montpellier
Lyon-Saint Exupéry,Nantes
Lyon-Saint Exupéry,Nice
Lyon-Saint Exupéry,Paris Beauvais
Lyon-Saint Exupéry,Paris Charles de Gaulle
